0 info it worked if it ends with ok
1 verbose cli [
1 verbose cli   'C:\\Program Files\\nodejs\\node.exe',
1 verbose cli   'C:\\Users\\Ayishatu\\node_modules\\npm\\bin\\npm-cli.js',
1 verbose cli   'install',
1 verbose cli   '--save-exact',
1 verbose cli   '--save-dev',
1 verbose cli   '@types/react',
1 verbose cli   '@types/node'
1 verbose cli ]
2 info using npm@2.15.12
3 info using node@v22.14.0
4 verbose install initial load of C:\Users\Ayishatu\BreakPoint\frontend\package.json
5 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\acorn\package.json
6 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\acorn-jsx\package.json
7 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\ajv\package.json
8 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\any-promise\package.json
9 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\arg\package.json
10 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\argparse\package.json
11 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\aria-query\package.json
12 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\array-buffer-byte-length\package.json
13 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\array-includes\package.json
14 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\array-union\package.json
15 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\array.prototype.findlast\package.json
16 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\array.prototype.findlastindex\package.json
17 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\array.prototype.flat\package.json
18 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\array.prototype.flatmap\package.json
19 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\array.prototype.tosorted\package.json
20 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\arraybuffer.prototype.slice\package.json
21 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\ast-types-flow\package.json
22 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\async-function\package.json
23 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\autoprefixer\package.json
24 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\available-typed-arrays\package.json
25 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\axe-core\package.json
26 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\axobject-query\package.json
27 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\browserslist\package.json
28 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\busboy\package.json
